Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
04.01.2010;133,9;136,25;136,61;133,14;7,60M;-0,46%
05.01.2010;134,69;133,43;135,48;131,81;8,86M;0,59%
06.01.2010;132,25;134,6;134,73;131,65;7,18M;-1,81%
07.01.2010;130;132,01;132,32;128,8;11,03M;-1,70%
08.01.2010;133,52;130,56;133,68;129,03;9,83M;2,71%
11.01.2010;130,31;132,62;132,8;129,21;8,79M;-2,40%
12.01.2010;127,35;128,99;129,82;126,55;9,10M;-2,27%
13.01.2010;129,11;127,9;129,71;125,75;10,73M;1,38%
14.01.2010;127,35;129,14;130,38;126,4;9,79M;-1,36%
15.01.2010;127,14;129,18;129,65;127,06;15,38M;-0,16%
19.01.2010;127,61;126,2;128;124,33;8,90M;0,37%
20.01.2010;125,78;127,13;129,2;125,08;9,08M;-1,43%
21.01.2010;126,62;127,26;128,15;125;9,98M;0,67%
22.01.2010;121,43;125,6;127,67;120,76;11,58M;-4,10%
25.01.2010;120,31;122,1;122,28;118,12;12,03M;-0,92%
26.01.2010;119,48;120,56;122,98;119,06;9,57M;-0,69%
27.01.2010;122,75;121,03;123,33;118,8;14,77M;2,74%
28.01.2010;126,03;124,43;127,2;122,8;27,29M;2,67%
29.01.2010;125,41;129,77;131,85;124,14;29,48M;-0,49%
01.02.2010;118,87;123,18;124,86;113,82;37,77M;-5,21%
02.02.2010;118,12;118,79;118,98;114,4;23,08M;-0,63%
03.02.2010;119,1;117,12;119,61;116,56;12,41M;0,83%
04.02.2010;115,94;118,64;120,33;115,74;12,78M;-2,65%
05.02.2010;117,39;115,88;117,65;114,1;11,03M;1,25%
08.02.2010;116,83;119,38;121;116,56;9,90M;-0,48%
09.02.2010;118,03;118,2;119,09;117;9,23M;1,03%
10.02.2010;117,36;118;118,61;116;6,24M;-0,57%
11.02.2010;120,09;117,21;120,42;116,5;8,34M;2,33%
12.02.2010;119,66;118,99;119,94;117,5;8,08M;-0,36%
