Fecha;Hora;Div.;Evento;Numero de evento;Actual;Previsión;Anterior;Actual/Prev;Último;Apertura;Máximo;Mínimo;% var.;Var Max-min;Label
14/1/2022;14:30;  USD;Ventasminoristas;2;-0.019;-0.001;0.002;0.982;44.56;44.665;44.665;44.505;0.0013;0.16;0
14/1/2022;14:30;  USD;Ventasminoristassubyacentes;1;-0.023;0.002;0.001;0.975;44.56;44.665;44.665;44.505;0.0013;0.16;0
13/1/2022;14:30;  USD;IPP;3;0.002;0.004;0.01;0.998;44.5;44.645;44.665;44.53;-0.0029;0.135;0
13/1/2022;14:30;  USD;Nuevaspeticionesdesubsidiopordesempleo;4;230;200;207;1.15;44.5;44.645;44.665;44.53;-0.0029;0.135;0
12/1/2022;14:30;  USD;IPCsubyacente;5;0.006;0.005;0.005;1.001;44.63;44.685;44.685;44.645;-0.0009;0.04;0
12/1/2022;16:30;  USD;InventariosdepetróleocrudodelaAIE;6;-4.553;-1.904;-2.144;2.391281513;44.63;44.685;44.685;44.645;-0.0009;0.04;0
7/1/2022;14:30;  USD;Nóminasnoagrícolas;7;199;400;249;0.4975;44.73;44.745;44.745;44.715;0;0.03;0
7/1/2022;14:30;  USD;Tasadedesempleo;8;0.039;0.041;0.042;0.998;44.73;44.745;44.745;44.715;0;0.03;0
6/1/2022;16:00;  USD;PMInomanufacturerodelISM;9;62;66.9;69.1;0.926756353;44.73;44.745;44.745;44.715;0;0.03;0
6/1/2022;14:30;  USD;Nuevaspeticionesdesubsidiopordesempleo;4;207;197;200;1.050761421;44.73;44.745;44.745;44.715;0;0.03;0
5/1/2022;16:30;  USD;InventariosdepetróleocrudodelaAIE;6;-2.144;-3.283;-3.576;0.653061224;44.73;44.63;44.745;44.615;0.0027;0.13;1
5/1/2022;14:15;  USD;CambiodelempleonoagrícolaADP;10;807;400;505;2.0175;44.73;44.63;44.745;44.615;0.0027;0.13;1
4/1/2022;16:00;  USD;EncuestajOLTsdeofertasdeempleo;11;10.562;11.075;11.091;0.953679458;44.61;44.705;44.705;44.63;-0.0018;0.075;0
4/1/2022;16:00;  USD;PMImanufacturerodelISM;12;58.7;60;61.1;0.978333333;44.61;44.705;44.705;44.63;-0.0018;0.075;0
30/12/2021;14:30;  USD;Nuevaspeticionesdesubsidiopordesempleo;4;198;208;206;0.951923077;44.6;44.465;44.825;44.465;0.0034;0.36;1
29/12/2021;16:00;  USD;Ventadeviviendaspendientes;13;-0.022;0.005;0.075;0.973;44.45;44.485;44.715;44.465;-0.0004;0.25;0
29/12/2021;16:30;  USD;InventariosdepetróleocrudodelaAIE;6;-3.576;-3.233;-4.715;1.106093412;44.45;44.485;44.715;44.465;-0.0004;0.25;0
23/12/2021;16:00;  USD;Ventasdeviviendasnuevas;14;744;770;662;0.966233766;44.31;44.345;44.415;44.315;-0.0005;0.1;0
23/12/2021;14:30;  USD;Nuevaspeticionesdesubsidiopordesempleo;4;205;205;205;1;44.31;44.345;44.415;44.315;-0.0005;0.1;0
23/12/2021;14:30;  USD;Pedidosdebienesduraderos;15;0.008;0.006;0.003;1.002;44.31;44.345;44.415;44.315;-0.0005;0.1;0
22/12/2021;16:00;  USD;Ventasdeviviendasdesegundamano;16;6.46;6.52;6.34;0.990797546;44.33;44.355;44.355;44.345;-0.0002;0.01;0
22/12/2021;14:30;  USD;PIB;17;0.023;0.021;0.067;1.002;44.33;44.355;44.355;44.345;-0.0002;0.01;0
22/12/2021;16:00;  USD;ConfianzadelconsumidordeTheConferenceBoard;18;115.8;110.8;111.9;1.045126354;44.33;44.355;44.355;44.345;-0.0002;0.01;0
22/12/2021;16:30;  USD;InventariosdepetróleocrudodelaAIE;6;-4.715;-2.75;-4.584;1.714545455;44.33;44.355;44.355;44.345;-0.0002;0.01;0
16/12/2021;14:30;  USD;ÍndicemanufacturerodelaFeddeFiladelfia;19;15.4;30;39;0.513333333;44.36;44.29;44.525;44.29;0.002;0.235;1
16/12/2021;14:30;  USD;Permisosdeconstrucción;20;1.712;1.663;1.653;1.029464823;44.36;44.29;44.525;44.29;0.002;0.235;1
16/12/2021;14:30;  USD;Nuevaspeticionesdesubsidiopordesempleo;4;206;200;188;1.03;44.36;44.29;44.525;44.29;0.002;0.235;1
15/12/2021;14:30;  USD;Ventasminoristas;2;0.003;0.008;0.018;0.995;44.27;44.235;44.29;44.205;0.0029;0.085;1
15/12/2021;20:00;  USD;Decisióndetiposdeinterés;21;0.0025;0.0025;0.0025;1;44.27;44.235;44.29;44.205;0.0029;0.085;1
15/12/2021;16:30;  USD;InventariosdepetróleocrudodelaAIE;6;-4.584;-2.082;-0.24;2.201729107;44.27;44.235;44.29;44.205;0.0029;0.085;1
15/12/2021;14:30;  USD;Ventasminoristassubyacentes;1;0.003;0.009;0.018;0.994;44.27;44.235;44.29;44.205;0.0029;0.085;1
14/12/2021;14:30;  USD;IPP;3;0.008;0.005;0.006;1.003;44.14;44.275;44.275;44.195;-0.0027;0.08;0
10/12/2021;14:30;  USD;IPCsubyacente;5;0.005;0.005;0.006;1;44.2;44.195;44.215;44.195;0.0005;0.02;1
9/12/2021;14:30;  USD;Nuevaspeticionesdesubsidiopordesempleo;4;184;215;227;0.855813953;44.18;44.205;44.205;44.165;0.0023;0.04;0
8/12/2021;16:30;  USD;InventariosdepetróleocrudodelaAIE;6;-0.24;-1.705;-0.91;0.140762463;44.08;44.165;44.205;44.13;-0.0016;0.075;0
8/12/2021;16:00;  USD;EncuestajOLTsdeofertasdeempleo;11;11.033;10.369;10.602;1.064037033;44.08;44.165;44.205;44.13;-0.0016;0.075;0
3/12/2021;14:30;  USD;Nóminasnoagrícolas;7;210;550;546;0.381818182;44.17;44.155;44.17;44.13;0.0005;0.04;1
3/12/2021;14:30;  USD;Tasadedesempleo;8;0.042;0.045;0.046;0.997;44.17;44.155;44.17;44.13;0.0005;0.04;1
3/12/2021;16:00;  USD;PMInomanufacturerodelISM;9;69.1;65;66.7;1.063076923;44.17;44.155;44.17;44.13;0.0005;0.04;1
2/12/2021;14:30;  USD;Nuevaspeticionesdesubsidiopordesempleo;4;222;240;194;0.925;44.15;44.115;44.16;44.065;0.0016;0.095;1
1/12/2021;16:30;  USD;InventariosdepetróleocrudodelaAIE;6;-0.91;-1.237;1.017;0.735650768;44.08;44.015;44.125;44.015;0.0018;0.11;1
1/12/2021;16:00;  USD;PMImanufacturerodelISM;12;61.1;61;60.8;1.001639344;44.08;44.015;44.125;44.015;0.0018;0.11;1
1/12/2021;14:15;  USD;CambiodelempleonoagrícolaADP;10;534;525;570;1.017142857;44.08;44.015;44.125;44.015;0.0018;0.11;1
30/11/2021;16:00;  USD;ConfianzadelconsumidordeTheConferenceBoard;18;109.5;111;111.6;0.986486486;44;44.185;44.185;44.015;-0.0038;0.17;0
29/11/2021;16:00;  USD;Ventadeviviendaspendientes;13;0.075;0.009;-0.024;1.066;44.17;44.065;44.185;44.055;-0.0002;0.13;1
24/11/2021;16:30;  USD;InventariosdepetróleocrudodelaAIE;6;1.017;-0.481;-2.101;-2.114345114;44.02;44.035;44.175;44.035;-0.0018;0.14;0
24/11/2021;14:30;  USD;Nuevaspeticionesdesubsidiopordesempleo;4;199;260;270;0.765384615;44.02;44.035;44.175;44.035;-0.0018;0.14;0
24/11/2021;16:00;  USD;Ventasdeviviendasnuevas;14;745;800;742;0.93125;44.02;44.035;44.175;44.035;-0.0018;0.14;0
24/11/2021;14:30;  USD;PIB;17;0.021;0.022;0.067;0.999;44.02;44.035;44.175;44.035;-0.0018;0.14;0
24/11/2021;14:30;  USD;Pedidosdebienesduraderos;15;0.005;0.005;0.007;1;44.02;44.035;44.175;44.035;-0.0018;0.14;0
22/11/2021;16:00;  USD;Ventasdeviviendasdesegundamano;16;6.34;6.2;6.29;1.022580645;44.12;44.205;44.205;43.965;-0.0016;0.24;0
18/11/2021;14:30;  USD;Nuevaspeticionesdesubsidiopordesempleo;4;268;260;269;1.030769231;44.11;44.055;44.125;44.035;0.0016;0.09;1
18/11/2021;14:30;  USD;ÍndicemanufacturerodelaFeddeFiladelfia;19;39;24;23.8;1.625;44.11;44.055;44.125;44.035;0.0016;0.09;1
17/11/2021;16:30;  USD;InventariosdepetróleocrudodelaAIE;6;-2.101;1.398;1.001;-1.50286123;44.04;44.135;44.135;44.025;-0.0018;0.11;0
17/11/2021;14:30;  USD;Permisosdeconstrucción;20;1.65;1.638;1.586;1.007326007;44.04;44.135;44.135;44.025;-0.0018;0.11;0
16/11/2021;14:30;  USD;Ventasminoristas;2;0.017;0.012;0.008;1.005;44.12;44.115;44.135;44.035;0.0005;0.1;1
16/11/2021;14:30;  USD;Ventasminoristassubyacentes;1;0.017;0.01;0.007;1.007;44.12;44.115;44.135;44.035;0.0005;0.1;1
12/11/2021;16:00;  USD;EncuestajOLTsdeofertasdeempleo;11;10.438;10.3;10.629;1.013398058;43.83;43.685;44.1;43.665;0.0002;0.435;1
